occupation,degree,sex,estimate count,count moe,median
"Claims adjusters, appraisers, examiners, and investigators",graduate,women,15400.0,2235.0,75350.0
Cleaners of vehicles and equipment,less_bachelor,men,127300.0,6860.0,36030.0
Cleaners of vehicles and equipment,less_bachelor,women,30530.0,3550.0,31860.0
Clergy,less_bachelor,men,49890.0,4075.0,42940.0
Clergy,less_bachelor,women,8845.0,1325.0,36300.0
Clergy,bachelor,men,73900.0,4155.0,52890.0
Clergy,bachelor,women,13170.0,1860.0,45610.0
Clergy,bachelor_plus,men,200400.0,8990.0,56450.0
Clergy,bachelor_plus,women,35300.0,2960.0,54400.0
Clergy,graduate,men,126500.0,7050.0,59050.0
Clergy,graduate,women,22130.0,2200.0,58490.0
Clinical and counseling psychologists,bachelor_plus,women,8145.0,1385.0,106600.0
Clinical and counseling psychologists,graduate,women,7070.0,1270.0,104600.0
Clinical laboratory technologists and technicians,less_bachelor,men,33050.0,3435.0,52440.0
Clinical laboratory technologists and technicians,less_bachelor,women,79620.0,4960.0,44200.0
Clinical laboratory technologists and technicians,bachelor,men,31240.0,3040.0,64790.0
Clinical laboratory technologists and technicians,bachelor,women,66510.0,4340.0,64780.0
Clinical laboratory technologists and technicians,bachelor_plus,men,37730.0,3435.0,65890.0
Clinical laboratory technologists and technicians,bachelor_plus,women,83750.0,5220.0,67060.0
Clinical laboratory technologists and technicians,graduate,women,17240.0,2465.0,76330.0
Coaches and scouts,less_bachelor,men,20580.0,3025.0,50010.0
Coaches and scouts,less_bachelor,women,8625.0,1780.0,42940.0
Coaches and scouts,bachelor,men,33750.0,3455.0,62840.0
Coaches and scouts,bachelor,women,16650.0,2375.0,53420.0
Coaches and scouts,bachelor_plus,men,57280.0,3950.0,63560.0
Coaches and scouts,bachelor_plus,women,31970.0,2935.0,57960.0
Coaches and scouts,graduate,men,23530.0,2595.0,64080.0
Coaches and scouts,graduate,women,15320.0,2300.0,61050.0
"Coin, vending, and amusement machine servicers and repairers",less_bachelor,men,15290.0,2810.0,41990.0
Compensation and benefits managers,bachelor_plus,women,10890.0,2040.0,113100.0
"Compensation, benefits, and job analysis specialists",less_bachelor,women,23550.0,2975.0,52050.0
"Compensation, benefits, and job analysis specialists",bachelor,men,11030.0,1820.0,80100.0
"Compensation, benefits, and job analysis specialists",bachelor,women,20060.0,2645.0,70260.0
"Compensation, benefits, and job analysis specialists",bachelor_plus,men,13820.0,1975.0,81310.0
"Compensation, benefits, and job analysis specialists",bachelor_plus,women,27380.0,3270.0,74780.0
Compliance officers,less_bachelor,men,45500.0,4300.0,65940.0
Compliance officers,less_bachelor,women,54650.0,5015.0,59100.0
Compliance officers,bachelor,men,53710.0,4275.0,81020.0
Compliance officers,bachelor,women,70270.0,4305.0,81130.0
Compliance officers,bachelor_plus,men,86410.0,5370.0,89070.0
Compliance officers,bachelor_plus,women,110300.0,5955.0,87920.0
Compliance officers,graduate,men,32700.0,3030.0,105500.0
Compliance officers,graduate,women,40030.0,3645.0,97410.0
Computer and information research scientists,bachelor_plus,men,17710.0,2460.0,117400.0
Computer and information research scientists,graduate,men,10270.0,1560.0,130500.0
Computer and information systems managers,less_bachelor,men,120600.0,6440.0,106500.0
Computer and information systems managers,less_bachelor,women,36640.0,3150.0,88020.0
Computer and information systems managers,bachelor,men,194700.0,7670.0,137200.0
Computer and information systems managers,bachelor,women,76250.0,4440.0,122300.0
Computer and information systems managers,bachelor_plus,men,306900.0,8765.0,145100.0
Computer and information systems managers,bachelor_plus,women,122700.0,5840.0,125600.0
Computer and information systems managers,graduate,men,112200.0,5830.0,154900.0
Computer and information systems managers,graduate,women,46450.0,3960.0,129800.0
Computer hardware engineers,bachelor,men,20520.0,2880.0,113600.0
Computer hardware engineers,bachelor_plus,men,36290.0,3480.0,133100.0
Computer hardware engineers,graduate,men,15770.0,2200.0,144600.0
Computer network architects,less_bachelor,men,45250.0,3860.0,96360.0
Computer network architects,bachelor,men,37450.0,3025.0,109200.0
Computer network architects,bachelor_plus,men,52460.0,3630.0,118200.0
Computer network architects,graduate,men,15010.0,2210.0,135400.0
Computer numerically controlled tool operators and programmers,less_bachelor,men,58990.0,4680.0,52540.0
Computer numerically controlled tool operators and programmers,less_bachelor,women,6435.0,1660.0,40640.0
"Computer occupations, all other",less_bachelor,men,237700.0,8880.0,68130.0
"Computer occupations, all other",less_bachelor,women,57300.0,4270.0,57680.0
"Computer occupations, all other",bachelor,men,202000.0,8490.0,87470.0
"Computer occupations, all other",bachelor,women,65160.0,3930.0,81830.0
"Computer occupations, all other",bachelor_plus,men,283600.0,10350.0,94240.0
"Computer occupations, all other",bachelor_plus,women,99960.0,5215.0,86230.0
"Computer occupations, all other",graduate,men,81660.0,4960.0,109400.0
"Computer occupations, all other",graduate,women,34790.0,3435.0,100700.0
Computer programmers,less_bachelor,men,50060.0,3755.0,82770.0
Computer programmers,less_bachelor,women,10010.0,1800.0,74500.0
Computer programmers,bachelor,men,93400.0,4615.0,105800.0
Computer programmers,bachelor,women,17980.0,2245.0,102000.0
Computer programmers,bachelor_plus,men,136300.0,6555.0,112300.0
Computer programmers,bachelor_plus,women,29850.0,2900.0,102400.0
Computer programmers,graduate,men,42880.0,3995.0,126200.0
Computer programmers,graduate,women,11870.0,1910.0,104600.0
Computer support specialists,less_bachelor,men,206000.0,9310.0,61750.0
Computer support specialists,less_bachelor,women,67820.0,5175.0,54630.0
Computer support specialists,bachelor,men,156000.0,7260.0,73950.0
Computer support specialists,bachelor,women,45030.0,3385.0,71920.0
Computer support specialists,bachelor_plus,men,201600.0,7410.0,79400.0
Computer support specialists,bachelor_plus,women,63690.0,3995.0,76470.0
Computer support specialists,graduate,men,45550.0,3635.0,102900.0
Computer support specialists,graduate,women,18660.0,2560.0,100400.0
Computer systems analysts,less_bachelor,men,78810.0,4720.0,78330.0
Computer systems analysts,less_bachelor,women,59130.0,3975.0,73570.0
Computer systems analysts,bachelor,men,143600.0,7210.0,95550.0
Computer systems analysts,bachelor,women,91490.0,6435.0,86200.0
Computer systems analysts,bachelor_plus,men,216900.0,8580.0,101100.0
Computer systems analysts,bachelor_plus,women,140000.0,7695.0,88190.0
Computer systems analysts,graduate,men,73280.0,4555.0,108800.0
Computer systems analysts,graduate,women,48500.0,4555.0,94610.0
"Computer, automated teller, and office machine repairers",less_bachelor,men,62340.0,5260.0,51660.0
"Computer, automated teller, and office machine repairers",bachelor,men,17540.0,2445.0,55110.0
"Computer, automated teller, and office machine repairers",bachelor_plus,men,21810.0,2945.0,53810.0
Conservation scientists and foresters,bachelor,men,13490.0,1705.0,66550.0
Conservation scientists and foresters,bachelor_plus,men,16250.0,1910.0,70330.0
Conservation scientists and foresters,bachelor_plus,women,7415.0,1560.0,64400.0
Construction and building inspectors,less_bachelor,men,54340.0,4595.0,63650.0
Construction and building inspectors,bachelor,men,17580.0,2395.0,76140.0
Construction and building inspectors,bachelor_plus,men,21590.0,2835.0,75350.0
Construction equipment operators,less_bachelor,men,260700.0,8870.0,57000.0
Construction equipment operators,bachelor,men,7115.0,1285.0,64340.0
Construction equipment operators,bachelor_plus,men,8395.0,1365.0,62760.0
Construction laborers,less_bachelor,men,962700.0,21260.0,42210.0
Construction laborers,less_bachelor,women,33190.0,4075.0,35550.0
Construction laborers,bachelor,men,49790.0,4870.0,53280.0
Construction laborers,bachelor_plus,men,60590.0,5705.0,51610.0
Construction laborers,graduate,men,10800.0,2435.0,44180.0
Construction managers,less_bachelor,men,532400.0,15110.0,77500.0
Construction managers,less_bachelor,women,33820.0,3520.0,64460.0
Construction managers,bachelor,men,210500.0,7215.0,102000.0
Construction managers,bachelor,women,31220.0,2895.0,86140.0
Construction managers,bachelor_plus,men,259500.0,8215.0,103400.0
Construction managers,bachelor_plus,women,41090.0,3205.0,90640.0
Construction managers,graduate,men,49040.0,4565.0,111000.0
Construction managers,graduate,women,9870.0,1465.0,105000.0
Control and valve installers and repairers,less_bachelor,men,20350.0,3175.0,65090.0
"Conveyor, dredge, and hoist and winch operators",less_bachelor,men,15090.0,2215.0,65590.0
Cooks,less_bachelor,men,482000.0,13430.0,31370.0
Cooks,less_bachelor,women,317300.0,11700.0,26490.0
Cooks,bachelor,men,28450.0,3030.0,35840.0
Cooks,bachelor,women,19280.0,2075.0,30320.0
Cooks,bachelor_plus,men,34380.0,3465.0,35840.0
Cooks,bachelor_plus,women,22700.0,2740.0,30340.0
Correctional officers and jailers,less_bachelor,men,159600.0,8050.0,61180.0
Correctional officers and jailers,less_bachelor,women,53330.0,4570.0,50260.0
Correctional officers and jailers,bachelor,men,26860.0,2940.0,65530.0
